Match ID,Innings Number,From Over,To Over,Powerplay Type
1175363,1,0.1,5.6,mandatory
1175363,2,0.1,5.6,mandatory
734021,1,0.1,5.6,mandatory
734021,2,0.1,5.6,mandatory
336035,1,0.1,5.7,mandatory
336035,2,0.1,5.6,mandatory
548365,1,0.1,5.6,mandatory
548365,2,0.1,5.6,mandatory
392200,1,0.1,5.6,mandatory
392200,2,0.1,5.6,mandatory
1426276,1,0.1,5.6,mandatory
1426276,2,0.1,5.6,mandatory
1359510,1,0.1,5.6,mandatory
1359510,2,0.1,5.6,mandatory
980959,1,0.1,5.6,mandatory
980959,2,0.1,5.6,mandatory
1426299,1,0.1,5.6,mandatory
1426299,2,0.1,5.6,mandatory
1254105,1,0.1,5.6,mandatory
1254105,2,0.1,5.6,mandatory
1181764,1,0.1,5.6,mandatory
1181764,2,0.1,5.6,mandatory
392191,1,0.1,5.6,mandatory
392191,2,0.1,5.6,mandatory
829787,1,0.1,5.6,mandatory
829787,2,0.1,5.6,mandatory
1473451,1,0.1,5.6,mandatory
1473451,2,0.1,5.6,mandatory
501218,1,0.1,5.6,mandatory
501218,2,0.1,5.6,mandatory
548332,1,0.1,5.6,mandatory
548332,2,0.1,5.6,mandatory
1304091,1,0.1,5.6,mandatory
1304091,2,0.1,5.6,mandatory
1473447,1,0.1,5.6,mandatory
1473447,2,0.1,5.7,mandatory
829791,1,0.1,5.6,mandatory
829791,2,0.1,5.6,mandatory
548324,1,0.1,5.6,mandatory
548324,2,0.1,5.6,mandatory
1473502,1,0.1,5.6,mandatory
1473502,2,0.1,5.6,mandatory
729279,1,0.1,5.6,mandatory
729279,2,0.1,5.6,mandatory
1175359,1,0.1,5.6,mandatory
1175359,2,0.1,5.6,mandatory
1304087,1,0.1,5.6,mandatory
1304087,2,0.1,5.6,mandatory
335988,1,0.1,5.6,mandatory
335988,2,0.1,5.7,mandatory
1304068,1,0.1,5.6,mandatory
1304068,2,0.1,5.6,mandatory
336023,1,0.1,5.6,mandatory
336023,2,0.1,5.6,mandatory
501259,1,0.1,5.6,mandatory
501259,2,0.1,5.7,mandatory
829729,1,0.1,5.6,mandatory
829729,2,0.1,5.6,mandatory
548373,1,0.1,5.6,mandatory
548373,2,0.1,5.7,mandatory
1359506,1,0.1,5.6,mandatory
1359506,2,0.1,5.6,mandatory
1426260,1,0.1,5.7,mandatory
1426260,2,0.1,5.6,mandatory
392216,1,0.1,5.6,mandatory
392216,2,0.1,5.6,mandatory
1254113,1,0.1,5.7,mandatory
1254113,2,0.1,5.6,mandatory
419150,1,0.1,5.6,mandatory
419150,2,0.1,5.7,mandatory
1082630,1,0.1,5.6,mandatory
1082630,2,0.1,5.6,mandatory
336028,1,0.1,5.6,mandatory
336028,2,0.1,5.6,mandatory
501252,1,0.1,5.6,mandatory
501252,2,0.1,5.6,mandatory
548378,1,0.1,5.6,mandatory
548378,2,0.1,5.6,mandatory
598060,1,0.1,5.7,mandatory
598060,2,0.1,5.6,mandatory
734047,1,0.1,5.6,mandatory
734047,2,0.1,5.7,mandatory
